,Hours,NO1,NO2,NO3,NO4,NO5,NO
14-10-2020,15 - 16,4273,4223,2966,2094,1927,15483
14-10-2020,16 - 17,4321,4267,3016,1975,1958,15537
14-10-2020,17 - 18,4356,4233,3084,2040,1955,15667
14-10-2020,18 - 19,4491,4335,3084,2089,1992,15992
14-10-2020,19 - 20,4589,4410,3062,2135,2011,16207
14-10-2020,20 - 21,4536,4465,3067,2131,2013,16211
14-10-2020,21 - 22,4408,4376,3029,2096,1948,15857
14-10-2020,22 - 23,4174,4275,2910,2039,1933,15332
14-10-2020,23 - 00,3905,4071,2773,1963,1823,14535
15-10-2020,00 - 01,3743,3905,2648,1978,1789,14063
15-10-2020,01 - 02,3666,3820,2591,1862,1800,13738
15-10-2020,02 - 03,3635,3817,2611,1868,1793,13724
15-10-2020,03 - 04,3635,3805,2632,1855,1794,13722
15-10-2020,04 - 05,3634,3850,2609,1924,1802,13819
15-10-2020,05 - 06,3817,3909,2656,1887,1883,14151
15-10-2020,06 - 07,4352,4438,2855,1888,1966,15499
15-10-2020,07 - 08,4982,4875,3150,2034,2252,17293
15-10-2020,08 - 09,5107,4857,3262,2125,2182,17533
15-10-2020,09 - 10,5063,4741,3215,2142,2203,17364
15-10-2020,10 - 11,4856,4892,3159,2056,2147,17109
15-10-2020,11 - 12,4666,4458,3088,2001,2070,16283
15-10-2020,12 - 13,4485,4399,3062,1990,2076,16012
15-10-2020,13 - 14,4356,4306,3034,2098,1918,15712
15-10-2020,14 - 15,4247,4174,3038,2075,2014,15548
15-10-2020,15 - 16,4200,4159,3062,2008,2061,15490
15-10-2020,16 - 17,4219,4184,3005,2058,2091,15557
15-10-2020,17 - 18,4278,4224,2919,2102,2027,15550
15-10-2020,18 - 19,4421,4304,3025,2111,2053,15915
15-10-2020,19 - 20,4527,4422,3060,2113,2111,16232
15-10-2020,20 - 21,4467,4478,3023,2081,2095,16143
15-10-2020,21 - 22,4352,4433,2918,2037,2104,15844
15-10-2020,22 - 23,4142,4211,2796,2005,2075,15229
15-10-2020,23 - 00,3876,4007,2705,1957,1895,14438
16-10-2020,00 - 01,3644,3788,2709,1931,1872,13944
16-10-2020,01 - 02,3519,3786,2645,1888,1554,13391
16-10-2020,02 - 03,3432,3697,2643,1873,1653,13296
16-10-2020,03 - 04,3410,3591,2681,1910,1723,13315
16-10-2020,04 - 05,3453,3733,2618,1910,1769,13483
16-10-2020,05 - 06,3613,3842,2614,1954,1786,13808
16-10-2020,06 - 07,4120,4152,2766,2030,1988,15055
16-10-2020,07 - 08,4716,4623,3039,1982,2129,16488
16-10-2020,08 - 09,4838,4743,3162,2047,2157,16947
16-10-2020,09 - 10,4752,4765,3219,2068,2208,17011
16-10-2020,10 - 11,4636,4720,3206,2154,2313,17027
16-10-2020,11 - 12,4501,4652,3182,2086,2164,16585
16-10-2020,12 - 13,4343,4554,3145,2089,2079,16210
16-10-2020,13 - 14,4235,4451,3136,2142,2038,16001
16-10-2020,14 - 15,4146,4378,3095,2122,1897,15638
16-10-2020,15 - 16,4160,4245,3008,2137,1919,15470
16-10-2020,16 - 17,4153,4180,2969,2117,1941,15359
16-10-2020,17 - 18,4233,4230,2997,2114,1952,15525
16-10-2020,18 - 19,4364,4290,3064,2176,1985,15878
16-10-2020,19 - 20,4341,4334,3043,2130,2027,15875
16-10-2020,20 - 21,4275,4252,2851,2094,1977,15448
16-10-2020,21 - 22,4153,4169,2763,2055,1994,15133
16-10-2020,22 - 23,3997,4129,2780,1980,1910,14796
16-10-2020,23 - 00,3856,3982,2727,1965,1827,14356
17-10-2020,00 - 01,3683,3888,2721,1989,1868,14149
17-10-2020,01 - 02,3550,3829,2684,1942,1775,13779
17-10-2020,02 - 03,3493,3781,2637,1835,1768,13514
17-10-2020,03 - 04,3465,3856,2671,1834,1762,13587
17-10-2020,04 - 05,3501,3841,2684,1838,1756,13622
17-10-2020,05 - 06,3581,3798,2689,1858,1753,13679
17-10-2020,06 - 07,3735,3847,2754,1917,1773,14026
17-10-2020,07 - 08,3876,3985,2864,1981,1824,14530
17-10-2020,08 - 09,4139,4218,3011,1988,1895,15252
17-10-2020,09 - 10,4380,4333,3143,2093,1965,15913
17-10-2020,10 - 11,4484,4389,3132,2142,2076,16223
17-10-2020,11 - 12,4422,4328,3155,2163,2095,16163
17-10-2020,12 - 13,4343,4314,3082,2118,2071,15929
17-10-2020,13 - 14,4198,4227,3051,2097,1990,15564
17-10-2020,14 - 15,4055,4034,3127,2102,1945,15262
17-10-2020,15 - 16,3950,4028,3072,2095,1940,15085
17-10-2020,16 - 17,3944,4104,3029,2117,1937,15132
17-10-2020,17 - 18,4158,4191,3091,2153,1966,15559
17-10-2020,18 - 19,4395,4342,3189,2208,1999,16133
17-10-2020,19 - 20,4400,4303,3194,2233,2041,16170
17-10-2020,20 - 21,4203,4129,3104,2138,1931,15505
17-10-2020,21 - 22,4020,4118,3062,2074,1900,15173
17-10-2020,22 - 23,3879,4056,3028,2045,1879,14886
17-10-2020,23 - 00,3772,4049,2968,1995,1868,14651
18-10-2020,00 - 01,3633,3903,2887,2006,1839,14269
18-10-2020,01 - 02,3544,3833,2873,1959,1805,14014
18-10-2020,02 - 03,3505,3770,2841,1935,1796,13846
18-10-2020,03 - 04,3489,3697,2834,1920,1788,13728
18-10-2020,04 - 05,3536,3671,2800,1910,1783,13699
18-10-2020,05 - 06,3605,3759,2880,1923,1792,13958
18-10-2020,06 - 07,3757,3880,3003,2005,1815,14458
18-10-2020,07 - 08,3898,4038,3058,2050,1905,14948
18-10-2020,08 - 09,4078,4154,3097,2087,1910,15326
18-10-2020,09 - 10,4189,4275,3147,2106,1956,15673
18-10-2020,10 - 11,4210,4304,3115,2143,2028,15799
18-10-2020,11 - 12,4113,4262,3224,2178,1864,15640
18-10-2020,12 - 13,4043,4215,3212,2141,1851,15462
18-10-2020,13 - 14,3955,4055,3067,2124,1841,15041
18-10-2020,14 - 15,3914,3983,2918,2093,1808,14716
18-10-2020,15 - 16,3912,4051,3163,2111,1916,15153
18-10-2020,16 - 17,4009,4105,3044,2161,2004,15323
18-10-2020,17 - 18,4083,4233,2941,2199,2083,15539
18-10-2020,18 - 19,4324,4432,3105,2212,1991,16064
18-10-2020,19 - 20,4437,4485,3423,2231,2107,16682
18-10-2020,20 - 21,4408,4364,3256,2177,2015,16220
18-10-2020,21 - 22,4351,4367,3041,2214,2007,15979
18-10-2020,22 - 23,4183,4325,2959,2203,1944,15614
18-10-2020,23 - 00,3979,4148,2972,2163,1873,15134
19-10-2020,00 - 01,3818,4005,2892,2144,1832,14690
19-10-2020,01 - 02,3697,3972,2771,2071,1812,14323
19-10-2020,02 - 03,3686,3981,2785,2075,1814,14340
19-10-2020,03 - 04,3708,3916,2903,2107,1796,14430
19-10-2020,04 - 05,3769,4014,2834,2096,1831,14543
19-10-2020,05 - 06,4004,4232,2878,2108,1887,15108
19-10-2020,06 - 07,4532,4531,3116,2206,2048,16434
19-10-2020,07 - 08,5167,4845,3394,2398,2181,17986
19-10-2020,08 - 09,5323,5009,3481,2455,2269,18538
19-10-2020,09 - 10,5278,4971,3520,2457,2242,18467
19-10-2020,10 - 11,5164,4882,3446,2419,2135,18046
19-10-2020,11 - 12,5061,4801,3362,2402,2196,17822
19-10-2020,12 - 13,4866,4746,3355,2355,2185,17507
19-10-2020,13 - 14,4702,4670,3321,2362,2130,17186
19-10-2020,14 - 15,4607,4565,3317,2364,2110,16962
19-10-2020,15 - 16,4609,4528,3345,2349,2121,16951
19-10-2020,16 - 17,4729,4483,3342,2363,2162,17079
19-10-2020,17 - 18,4844,4556,3325,2415,2127,17267
19-10-2020,18 - 19,5020,4667,3379,2415,2170,17650
19-10-2020,19 - 20,5018,4785,3416,2397,2181,17798
19-10-2020,20 - 21,4935,4970,3401,2416,2160,17882
19-10-2020,21 - 22,4800,4904,3347,2395,2115,17560
19-10-2020,22 - 23,4537,4632,3285,2320,2033,16807
19-10-2020,23 - 00,4211,4373,3149,2194,1953,15880
20-10-2020,00 - 01,3962,4105,3034,2116,1920,15135
20-10-2020,01 - 02,3800,4009,2979,2053,1874,14714
20-10-2020,02 - 03,3779,3982,2975,2039,1842,14617
20-10-2020,03 - 04,3806,4027,2996,2107,1836,14771
20-10-2020,04 - 05,3934,4005,2961,2151,1823,14873
20-10-2020,05 - 06,4128,4076,2941,2165,1851,15162
20-10-2020,06 - 07,4666,4414,3162,2256,1990,16488
20-10-2020,07 - 08,5336,4840,3466,2369,2158,18169
20-10-2020,08 - 09,5521,4920,3560,2409,2249,18658
20-10-2020,09 - 10,5505,4842,3570,2415,2233,18564
20-10-2020,10 - 11,5446,4976,3517,2383,2193,18514
20-10-2020,11 - 12,5469,4923,3469,2308,2119,18287
20-10-2020,12 - 13,5442,4932,3440,2279,2106,18198
20-10-2020,13 - 14,5352,4814,3423,2313,2102,18005
20-10-2020,14 - 15,5305,4798,3422,2352,2120,17996
20-10-2020,15 - 16,5346,4817,3386,2317,2117,17983
20-10-2020,16 - 17,5384,4952,3353,2380,2115,18184
20-10-2020,17 - 18,5359,4886,3387,2383,2135,18150
20-10-2020,18 - 19,5293,4806,3414,2367,2102,17982
20-10-2020,19 - 20,5187,4769,3395,2378,2103,17834
20-10-2020,20 - 21,5057,4689,3379,2376,2102,17603
20-10-2020,21 - 22,4855,4535,3282,2342,2053,17067
20-10-2020,22 - 23,4569,4204,3140,2303,1958,16173
20-10-2020,23 - 00,4276,4014,3057,2215,1863,15425
21-10-2020,00 - 01,4045,3875,3014,2128,1802,14865
21-10-2020,01 - 02,3837,3983,3213,2141,1800,14973
21-10-2020,02 - 03,3745,3958,3230,2108,1789,14830
21-10-2020,03 - 04,3694,3940,3147,2078,1794,14653
21-10-2020,04 - 05,3738,3942,3096,2049,1777,14602
21-10-2020,05 - 06,3919,3928,3009,2071,1814,14740
21-10-2020,06 - 07,4386,4208,3230,2250,1895,15969
21-10-2020,07 - 08,4991,4489,3469,2376,2007,17332
21-10-2020,08 - 09,5151,4610,3541,2343,2082,17727
21-10-2020,09 - 10,5105,4661,3450,2347,2068,17631
21-10-2020,10 - 11,5042,4604,3460,2409,2058,17573
21-10-2020,11 - 12,5022,4534,3417,2275,2053,17301
21-10-2020,12 - 13,4976,4546,3356,2284,2001,17163
21-10-2020,13 - 14,4912,4388,3356,2273,2006,16934
21-10-2020,14 - 15,4896,4237,3358,2265,1985,16742
21-10-2020,15 - 16,4931,4438,3367,2350,2021,17107
21-10-2020,16 - 17,5021,4637,3357,2450,2028,17494
21-10-2020,17 - 18,5024,4623,3332,2397,2027,17404
21-10-2020,18 - 19,5009,4661,3334,2353,2190,17547
21-10-2020,19 - 20,4929,4532,3370,2412,2161,17404
21-10-2020,20 - 21,4775,4489,3292,2380,1973,16910
21-10-2020,21 - 22,4568,4395,3269,2348,1894,16473
21-10-2020,22 - 23,4286,4143,3136,2252,1864,15682
21-10-2020,23 - 00,4011,3971,2980,2222,1728,14912
22-10-2020,00 - 01,3756,3866,2921,2170,1457,14170
22-10-2020,01 - 02,3575,3764,2859,2152,1471,13822
22-10-2020,02 - 03,3504,3697,2822,2264,1626,13913
22-10-2020,03 - 04,3472,3711,2807,2129,1663,13781
22-10-2020,04 - 05,3485,3770,2868,2164,1656,13943
22-10-2020,05 - 06,3660,3880,2968,2211,1673,14392
22-10-2020,06 - 07,4173,4214,3145,2317,1807,15656
22-10-2020,07 - 08,4762,4545,3384,2412,2019,17123
22-10-2020,08 - 09,4877,4662,3472,2391,1945,17347
22-10-2020,09 - 10,4870,4719,3425,2406,1913,17333
22-10-2020,10 - 11,4820,4640,3403,2430,1872,17164
22-10-2020,11 - 12,4793,4485,3361,2446,1915,17000
22-10-2020,12 - 13,4715,4350,3314,2360,1900,16640
22-10-2020,13 - 14,4689,4421,3300,2304,1881,16595
22-10-2020,14 - 15,4704,4392,3285,2412,1942,16735
22-10-2020,15 - 16,4712,4341,3270,2402,1946,16671
22-10-2020,16 - 17,4771,4429,3244,2387,1961,16791
22-10-2020,17 - 18,4834,4592,3289,2384,1955,17054
22-10-2020,18 - 19,4861,4682,3345,2446,1976,17311
22-10-2020,19 - 20,4720,4514,3430,2408,1997,17067
22-10-2020,20 - 21,4579,4405,3361,2296,1908,16548
22-10-2020,21 - 22,4447,4289,3306,2296,1893,16230
22-10-2020,22 - 23,4241,4168,3215,2285,1819,15726
22-10-2020,23 - 00,3938,4001,3125,2307,1746,15116
23-10-2020,00 - 01,3694,3844,3055,2158,1714,14464
23-10-2020,01 - 02,3560,3762,3004,2094,1699,14117
23-10-2020,02 - 03,3511,3773,3028,2224,1681,14216
23-10-2020,03 - 04,3495,3777,3054,2172,1666,14164
23-10-2020,04 - 05,3527,3888,3055,2148,1669,14287
23-10-2020,05 - 06,3720,4042,3127,2164,1724,14777
23-10-2020,06 - 07,4274,4338,3388,2298,1874,16172
23-10-2020,07 - 08,4891,4589,3577,2448,2094,17598
23-10-2020,08 - 09,5055,4698,3629,2397,2123,17903
23-10-2020,09 - 10,5081,4768,3629,2381,2109,17968
23-10-2020,10 - 11,5020,4714,3626,2369,2116,17846
23-10-2020,11 - 12,4970,4703,3518,2392,2101,17685
23-10-2020,12 - 13,4905,4626,3430,2331,2124,17416
23-10-2020,13 - 14,4811,4537,3318,2276,2021,16964
23-10-2020,14 - 15,4793,4523,3333,2279,2007,16935
23-10-2020,15 - 16,4796,4447,3313,2288,2032,16876
23-10-2020,16 - 17,4896,4479,3323,2325,2024,17047
23-10-2020,17 - 18,4949,4546,3353,2352,2018,17218
23-10-2020,18 - 19,5022,4793,3441,2361,2048,17665
23-10-2020,19 - 20,4894,4743,3396,2418,2007,17457
23-10-2020,20 - 21,4690,4564,3331,2364,1952,16901
23-10-2020,21 - 22,4481,4332,3250,2343,1934,16340
23-10-2020,22 - 23,4252,4187,3160,2360,1859,15819
23-10-2020,23 - 00,4068,4070,3063,2327,1856,15384
24-10-2020,00 - 01,3892,3988,3037,2333,1847,15096
24-10-2020,01 - 02,3731,3936,2920,2225,1766,14577
24-10-2020,02 - 03,3649,3863,2941,2197,1758,14407
24-10-2020,03 - 04,3596,3813,2961,2164,1756,14290
24-10-2020,04 - 05,3600,3781,3000,2115,1736,14232
24-10-2020,05 - 06,3657,3808,2867,2073,1760,14165
24-10-2020,06 - 07,3790,3917,2885,2148,1751,14491
24-10-2020,07 - 08,3992,4069,3029,2228,1827,15144
24-10-2020,08 - 09,4226,4237,3200,2278,1895,15836
24-10-2020,09 - 10,4503,4363,3261,2294,1977,16398
24-10-2020,10 - 11,4671,4387,3327,2314,2002,16699
24-10-2020,11 - 12,4674,4436,3292,2321,1954,16677
24-10-2020,12 - 13,4628,4377,3268,2287,2015,16575
24-10-2020,13 - 14,4564,4248,3268,2255,2003,16337
24-10-2020,14 - 15,4518,4194,3146,2237,1973,16069
24-10-2020,15 - 16,4491,4314,3098,2238,1982,16123
24-10-2020,16 - 17,4570,4363,3133,2321,1986,16372
24-10-2020,17 - 18,4690,4409,3306,2371,2006,16783
24-10-2020,18 - 19,4740,4486,3435,2322,2079,17063
24-10-2020,19 - 20,4589,4388,3180,2281,2026,16463
24-10-2020,20 - 21,4366,4219,3037,2202,1857,15681
24-10-2020,21 - 22,4161,4147,3022,2213,1799,15341
24-10-2020,22 - 23,3963,3968,3048,2160,1751,14890
24-10-2020,23 - 00,3766,3898,2912,2088,1724,14388
25-10-2020,00 - 01,3599,3870,2779,2057,1681,13984
25-10-2020,01 - 02,3427,3834,2696,2026,1654,13637
25-10-2020,02 - 03,3343,3786,2647,1978,1636,13390
25-10-2020,02 - 03,3296,3749,2749,1921,1597,13311
25-10-2020,03 - 04,3267,3757,2702,1928,1594,13248
25-10-2020,04 - 05,3272,3708,2667,1933,1583,13163
25-10-2020,05 - 06,3291,3653,2712,1992,1583,13231
25-10-2020,06 - 07,3375,3674,2709,2196,1617,13571
25-10-2020,07 - 08,3484,3842,2756,2161,1678,13920
25-10-2020,08 - 09,3656,4155,2825,2194,1704,14535
25-10-2020,09 - 10,3863,4361,2958,2198,1725,15105
25-10-2020,10 - 11,4024,4334,3055,2254,1802,15469
25-10-2020,11 - 12,4058,4139,3049,2238,1818,15302
25-10-2020,12 - 13,4051,4228,2983,2240,1857,15359
25-10-2020,13 - 14,4052,4075,2883,2205,1913,15127
25-10-2020,14 - 15,4035,4038,2851,2216,1928,15068
25-10-2020,15 - 16,4037,4099,2817,2427,1850,15228
25-10-2020,16 - 17,4130,4019,3025,2307,1886,15368
25-10-2020,17 - 18,4284,4146,3298,2311,1900,15939
25-10-2020,18 - 19,4266,4245,3099,2270,1925,15804
25-10-2020,19 - 20,4220,4192,3056,2245,1882,15595
25-10-2020,20 - 21,4123,4107,3013,2227,1843,15313
25-10-2020,21 - 22,4029,4091,2877,2248,1798,15041
25-10-2020,22 - 23,3824,4000,2745,2121,1771,14460
25-10-2020,23 - 00,3630,3909,2753,2055,1715,14062
26-10-2020,00 - 01,3440,3845,2776,2064,1663,13788
26-10-2020,01 - 02,3350,3808,2875,2059,1630,13722
26-10-2020,02 - 03,3327,3759,2952,2057,1599,13693
26-10-2020,03 - 04,3308,3719,2855,2075,1602,13559
26-10-2020,04 - 05,3370,3803,2779,2078,1617,13647
26-10-2020,05 - 06,3586,3927,2738,2100,1702,14054
26-10-2020,06 - 07,4090,4277,3029,2155,1847,15398
26-10-2020,07 - 08,4631,4614,3300,2196,2001,16743
26-10-2020,08 - 09,4748,4671,3239,2279,2104,17040
26-10-2020,09 - 10,4733,4634,3185,2295,2024,16871
26-10-2020,10 - 11,4647,4646,3087,2274,1953,16607
26-10-2020,11 - 12,4569,4525,3143,2142,1957,16335
26-10-2020,12 - 13,4524,4542,3158,2074,1929,16228
26-10-2020,13 - 14,4496,4582,3045,2166,1920,16209
26-10-2020,14 - 15,4500,4536,3070,2278,1922,16305
26-10-2020,15 - 16,4557,4518,3126,2239,1946,16385
26-10-2020,16 - 17,4698,4603,3125,2269,1986,16680
26-10-2020,17 - 18,4821,4675,3137,2241,2030,16904
26-10-2020,18 - 19,4712,4612,3241,2252,2078,16895
26-10-2020,19 - 20,4565,4523,3313,2252,2040,16693
26-10-2020,20 - 21,4446,4353,3130,2195,1976,16099
26-10-2020,21 - 22,4270,4286,2957,2081,1933,15527
26-10-2020,22 - 23,3989,4202,2864,1994,1834,14884
26-10-2020,23 - 00,3700,3957,2698,2052,1758,14164
27-10-2020,00 - 01,3509,3848,2796,2015,1760,13927
27-10-2020,01 - 02,3401,3745,2899,1885,1707,13637
27-10-2020,02 - 03,3335,3745,2829,1771,1673,13352
27-10-2020,03 - 04,3314,3796,2788,1744,1684,13324
27-10-2020,04 - 05,3326,3825,2842,1873,1703,13569
27-10-2020,05 - 06,3495,3948,2962,1996,1503,13903
27-10-2020,06 - 07,4015,4268,3118,2119,1553,15071
27-10-2020,07 - 08,4508,4575,3337,2234,1722,16376
27-10-2020,08 - 09,4635,4726,3376,2319,1764,16819
27-10-2020,09 - 10,4679,4676,3360,2317,1823,16855
27-10-2020,10 - 11,4650,4577,3204,2332,1701,16464
27-10-2020,11 - 12,4608,4491,3214,2254,1707,16273
27-10-2020,12 - 13,4601,4545,3128,2129,1737,16140
27-10-2020,13 - 14,4554,4533,3179,2211,1758,16235
27-10-2020,14 - 15,4567,4486,3164,2260,1685,16162
27-10-2020,15 - 16,4591,4439,3210,2264,1692,16195
27-10-2020,16 - 17,4779,4530,3327,2367,1752,16756
27-10-2020,17 - 18,4807,4738,3422,2347,1731,17045
27-10-2020,18 - 19,4741,4613,3357,2333,1687,16732
27-10-2020,19 - 20,4592,4594,3336,2243,1650,16414
27-10-2020,20 - 21,4482,4491,3347,2241,1631,16193
27-10-2020,21 - 22,4299,4377,3225,2185,1689,15775
27-10-2020,22 - 23,4050,4267,3079,2131,1640,15168
27-10-2020,23 - 00,3777,4017,2973,2043,1610,14420
28-10-2020,00 - 01,3550,3822,2876,2027,1571,13846
28-10-2020,01 - 02,3416,3796,2875,1998,1601,13686
28-10-2020,02 - 03,3337,3783,2833,2002,1627,13581
28-10-2020,03 - 04,3297,3844,2883,1993,1689,13706
28-10-2020,04 - 05,3387,3952,2876,2011,1738,13963
28-10-2020,05 - 06,3537,3962,2934,2073,1799,14305
28-10-2020,06 - 07,3967,4362,3168,2167,1919,15583
28-10-2020,07 - 08,4530,4507,3350,2294,2045,16727
28-10-2020,08 - 09,4636,4566,3274,2268,2035,16779
28-10-2020,09 - 10,4624,4604,3223,2233,2023,16707
28-10-2020,10 - 11,4478,4684,3187,2278,2027,16655
28-10-2020,11 - 12,4362,4625,3119,2256,2010,16373
28-10-2020,12 - 13,4292,4531,3226,2197,2031,16277
28-10-2020,13 - 14,4271,4457,3111,2275,2038,16152
28-10-2020,14 - 15,4317,4386,3147,2317,2072,16239
28-10-2020,15 - 16,4401,4368,3333,2356,2091,16549
28-10-2020,16 - 17,4602,4443,3304,2347,2062,16757
28-10-2020,17 - 18,4757,4520,3418,2330,2038,17063
28-10-2020,18 - 19,4724,4508,3501,2282,1977,16992
28-10-2020,19 - 20,4640,4420,3364,2318,1977,16718
28-10-2020,20 - 21,4540,4356,3277,2224,1950,16347
28-10-2020,21 - 22,4365,4359,3146,2227,1922,16018
28-10-2020,22 - 23,4133,4218,3089,2179,1850,15469
28-10-2020,23 - 00,3833,4031,3051,2040,1746,14702
29-10-2020,00 - 01,3630,3853,3043,2018,1712,14257
29-10-2020,01 - 02,3507,3781,2974,2022,1668,13951
29-10-2020,02 - 03,3431,3721,2913,1917,1668,13650
29-10-2020,03 - 04,3407,3746,2892,2028,1688,13761
29-10-2020,04 - 05,3455,3881,2896,2043,1672,13947
29-10-2020,05 - 06,3619,3989,2915,2073,1711,14308
29-10-2020,06 - 07,4162,4333,3099,2154,1870,15617
29-10-2020,07 - 08,4698,4617,3283,2217,1998,16814
29-10-2020,08 - 09,4838,4690,3341,2333,2037,17238
29-10-2020,09 - 10,4811,4699,3308,2376,2019,17212
29-10-2020,10 - 11,4661,4709,3256,2351,2017,16994
29-10-2020,11 - 12,4515,4672,3367,2288,2016,16859
29-10-2020,12 - 13,4523,4542,3325,2300,1986,16677
29-10-2020,13 - 14,4400,4523,3271,2307,2007,16508
29-10-2020,14 - 15,4453,4487,3309,2369,2023,16640
29-10-2020,15 - 16,4466,4528,3336,2330,2047,16708
29-10-2020,16 - 17,4728,4575,3320,2304,2253,17181
29-10-2020,17 - 18,4901,4680,3371,2307,2140,17400
29-10-2020,18 - 19,4910,4700,3408,2320,2123,17461
29-10-2020,19 - 20,4871,4679,3393,2355,2107,17405
29-10-2020,20 - 21,4797,4584,3347,2398,2074,17199
29-10-2020,21 - 22,4674,4444,3308,2347,2023,16796
29-10-2020,22 - 23,4451,4254,3198,2211,1991,16105
29-10-2020,23 - 00,4220,4098,3080,2231,1872,15501
30-10-2020,00 - 01,4072,4050,3009,2123,1806,15060
30-10-2020,01 - 02,3922,3975,2974,1945,1784,14599
30-10-2020,02 - 03,3894,3899,2978,2047,1730,14549
30-10-2020,03 - 04,3876,3854,3020,2078,1742,14569
30-10-2020,04 - 05,3941,3963,3028,2040,1766,14737
30-10-2020,05 - 06,4129,3954,3109,2130,1784,15105
30-10-2020,06 - 07,4610,4269,3216,2250,1882,16228
30-10-2020,07 - 08,5184,4646,3398,2363,2047,17639
30-10-2020,08 - 09,5352,4736,3464,2410,2052,18013
30-10-2020,09 - 10,5367,4827,3424,2400,2060,18077
30-10-2020,10 - 11,5318,4812,3410,2402,2075,18016
30-10-2020,11 - 12,5258,4770,3355,2327,1987,17696
30-10-2020,12 - 13,5259,4712,3301,2328,2019,17619
30-10-2020,13 - 14,5219,4793,3245,2322,2041,17619
30-10-2020,14 - 15,5165,4732,3235,2347,2025,17503
30-10-2020,15 - 16,5167,4574,3216,2363,2046,17366
30-10-2020,16 - 17,5227,4638,3294,2390,2040,17588
30-10-2020,17 - 18,5263,4812,3431,2436,2053,17994
30-10-2020,18 - 19,5157,4725,3322,2387,2053,17643
30-10-2020,19 - 20,4987,4533,3301,2345,1962,17127
30-10-2020,20 - 21,4766,4382,3168,2304,2027,16646
30-10-2020,21 - 22,4553,4299,2901,2245,1953,15951
30-10-2020,22 - 23,4275,4204,2916,2142,1911,15447
30-10-2020,23 - 00,4047,4101,2887,2058,1814,14906
31-10-2020,00 - 01,3828,3849,2602,1929,1765,13972
31-10-2020,01 - 02,3664,3813,2779,1932,1771,13959
31-10-2020,02 - 03,3583,3861,2666,1933,1751,13795
31-10-2020,03 - 04,3537,3867,2765,1946,1765,13880
31-10-2020,04 - 05,3527,3903,2689,1866,1777,13762
31-10-2020,05 - 06,3559,3978,2744,1873,1792,13947
31-10-2020,06 - 07,3711,4190,2948,1911,1800,14561
31-10-2020,07 - 08,3860,4353,2993,1918,1846,14970
31-10-2020,08 - 09,4120,4280,3121,1978,1897,15396
31-10-2020,09 - 10,4374,4532,3138,2034,1999,16077
31-10-2020,10 - 11,4509,4587,3085,2066,2038,16286
31-10-2020,11 - 12,4527,4390,3087,1971,2022,15997
31-10-2020,12 - 13,4531,4339,3032,1974,2027,15902
31-10-2020,13 - 14,4518,4253,2984,1941,2000,15695
31-10-2020,14 - 15,4520,4251,3135,1947,2013,15866
31-10-2020,15 - 16,4559,4327,3062,2032,2000,15980
31-10-2020,16 - 17,4671,4408,3143,2041,2032,16294
31-10-2020,17 - 18,4756,4526,3259,2067,2086,16694
31-10-2020,18 - 19,4668,4505,3199,1974,2050,16395
31-10-2020,19 - 20,4486,4363,3154,1910,1993,15906
31-10-2020,20 - 21,4296,4244,3103,1942,1946,15530
31-10-2020,21 - 22,4156,4122,3044,1935,1908,15164
31-10-2020,22 - 23,3969,4019,3062,1894,1861,14805
31-10-2020,23 - 00,3818,3917,2913,1763,1803,14214
1/11/20,00 - 01,3617,3875,2847,1870,1805,14014
1/11/20,01 - 02,3472,3771,2747,1812,1751,13553
1/11/20,02 - 03,3372,3707,2742,1807,1723,13351
1/11/20,03 - 04,3283,3688,2853,1783,1703,13309
1/11/20,04 - 05,3259,3776,2816,1827,1699,13376
1/11/20,05 - 06,3222,3709,2627,1790,1700,13048
1/11/20,06 - 07,3242,3743,2666,1863,1723,13237
1/11/20,07 - 08,3365,3684,2725,1935,1744,13453
1/11/20,08 - 09,3485,3702,2764,1966,1763,13680
1/11/20,09 - 10,3683,3936,2743,1933,1807,14102
1/11/20,10 - 11,3868,4218,2785,1960,1887,14718
1/11/20,11 - 12,3960,4178,2770,2014,1931,14852
1/11/20,12 - 13,3978,4097,2669,2004,1939,14687
1/11/20,13 - 14,4008,4181,2797,2037,1948,14972
1/11/20,14 - 15,4046,4273,2849,2047,1978,15192
1/11/20,15 - 16,4195,4284,2781,2087,2040,15385
1/11/20,16 - 17,4395,4359,2854,2064,1988,15660
1/11/20,17 - 18,4398,4365,2909,2035,2024,15730
1/11/20,18 - 19,4356,4251,2874,2060,1971,15511
1/11/20,19 - 20,4278,4157,2912,1995,1936,15278
1/11/20,20 - 21,4202,4225,2917,1925,1919,15188
1/11/20,21 - 22,4057,4140,2853,1875,1888,14812
1/11/20,22 - 23,3863,4057,2779,1900,1835,14433
1/11/20,23 - 00,3670,3936,2615,1992,1772,13984
2/11/20,00 - 01,3445,3803,2545,1920,1787,13499
2/11/20,01 - 02,3306,3610,2559,1876,1765,13115
2/11/20,02 - 03,3205,3708,2555,1837,1771,13075
2/11/20,03 - 04,3165,3661,2483,1815,1770,12894
2/11/20,04 - 05,3197,3787,2495,1793,1765,13038
2/11/20,05 - 06,3360,3826,2565,1814,1772,13336
2/11/20,06 - 07,3751,3995,2682,1906,1846,14180
2/11/20,07 - 08,4223,4245,2816,2063,1990,15337
2/11/20,08 - 09,4335,4308,3003,2092,2012,15750
