,Hours,NO1,NO2,NO3,NO4,NO5,NO,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
5/1/20,19 - 20,5448,4711,3440,2554,2187,18340,Stavanger,58.969976,5.733107,6.11,1.01,2.75,7.78,1019,93,5.7,180,90
5/1/20,20 - 21,5372,4657,3356,2547,2143,18075,Stavanger,58.969976,5.733107,6.11,1.01,2.75,7.78,1019,93,5.7,180,90
5/1/20,21 - 22,5281,4651,3443,2581,2145,18101,Stavanger,58.969976,5.733107,6.45,0.59,3.31,8,1019,100,7.2,180,90
5/1/20,22 - 23,5072,4526,3295,2580,2076,17549,Stavanger,58.969976,5.733107,6.45,0.59,3.31,8,1019,100,7.2,180,90
5/1/20,23 - 00,4843,4419,3260,2482,2028,17032,Stavanger,58.969976,5.733107,6.45,0.59,3.31,8,1019,100,7.2,180,90
6/1/20,00 - 01,4588,4250,3122,2411,1967,16338,Stavanger,58.969976,5.733107,6.94,1.31,3.65,8,1018,93,6.7,190,90
6/1/20,01 - 02,4421,4148,3006,2394,1938,15907,Stavanger,58.969976,5.733107,6.94,1.31,3.65,8,1018,93,6.7,190,90
6/1/20,02 - 03,4325,4104,2967,2434,1863,15693,Stavanger,58.969976,5.733107,7.08,1.13,4.23,8,1017,93,7.2,210,90
6/1/20,03 - 04,4304,4082,3056,2433,1825,15700,Stavanger,58.969976,5.733107,7.08,1.13,4.23,8,1017,93,7.2,210,90
6/1/20,04 - 05,4369,4168,3055,2378,1826,15796,Stavanger,58.969976,5.733107,7.08,1.13,4.23,8,1017,93,7.2,210,90
6/1/20,05 - 06,4621,4282,3044,2382,1848,16177,Stavanger,58.969976,5.733107,7.1,1.85,5.06,8,1017,93,6.2,210,90
6/1/20,06 - 07,5242,4646,3247,2493,1978,17606,Stavanger,58.969976,5.733107,7.1,1.85,5.06,8,1017,93,6.2,210,90
6/1/20,07 - 08,5841,5029,3369,2606,2146,18990,Stavanger,58.969976,5.733107,7.1,1.85,5.06,8,1017,93,6.2,210,90
6/1/20,08 - 09,5973,5177,3503,2723,2184,19560,Stavanger,58.969976,5.733107,7.12,2.65,5.21,8,1017,93,5.1,190,75
6/1/20,09 - 10,5956,5051,3602,2742,2204,19556,Stavanger,58.969976,5.733107,7.15,2.48,5.45,8,1017,87,5.1,190,75
6/1/20,10 - 11,5884,4957,3355,2694,2136,19025,Stavanger,58.969976,5.733107,7.18,2.72,5.67,8,1017,93,5.1,200,75
6/1/20,11 - 12,5776,4921,3367,2674,2160,18898,Stavanger,58.969976,5.733107,7.19,3.78,5.79,8,1017,93,3.6,200,75
6/1/20,12 - 13,5699,4882,3256,2670,2168,18674,Stavanger,58.969976,5.733107,7.19,3.78,5.79,8,1017,93,3.6,200,75
6/1/20,13 - 14,5608,4924,3341,2647,2137,18657,Stavanger,58.969976,5.733107,7.21,3.81,5.88,8,1017,93,3.6,220,90
6/1/20,14 - 15,5612,4902,3479,2630,2220,18843,Stavanger,58.969976,5.733107,7.21,3.81,5.88,8,1017,93,3.6,220,90
6/1/20,15 - 16,5706,4967,3542,2651,2176,19042,Stavanger,58.969976,5.733107,7.21,3.81,5.88,8,1017,93,3.6,220,90
6/1/20,16 - 17,5883,5078,3435,2614,2298,19308,Stavanger,58.969976,5.733107,6.93,3.35,5.99,7.78,1017,100,4.1,240,90
6/1/20,17 - 18,5851,5066,3377,2551,2311,19155,Stavanger,58.969976,5.733107,6.93,3.35,5.99,7.78,1017,100,4.1,240,90
6/1/20,18 - 19,5693,4942,3434,2519,2251,18839,Stavanger,58.969976,5.733107,6.93,3.35,5.99,7.78,1017,100,4.1,240,90
6/1/20,19 - 20,5475,4907,3405,2501,2204,18492,Stavanger,58.969976,5.733107,7.2,4.14,5.81,8,1017,93,3.1,220,90
6/1/20,20 - 21,5357,4804,3320,2480,2201,18161,Stavanger,58.969976,5.733107,7.2,4.14,5.81,8,1017,93,3.1,220,90
6/1/20,21 - 22,5166,4784,3324,2438,2158,17870,Stavanger,58.969976,5.733107,7.21,4.51,5.8,8,1016,93,2.6,210,90
6/1/20,22 - 23,4892,4627,3389,2439,2147,17494,Stavanger,58.969976,5.733107,7.2,4.14,5.85,8,1016,93,3.1,200,90
6/1/20,23 - 00,4571,4424,3367,2388,2026,16775,Stavanger,58.969976,5.733107,7.26,4.57,5.71,8,1016,93,2.6,180,90
7/1/20,00 - 01,4314,4319,3281,2303,1952,16170,Stavanger,58.969976,5.733107,7.18,4,5.65,8,1016,100,3.6,180,90
